tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
5.6790515834620723e+17,positive,1,NA,NA,Delta,NA,NYC_TAM,NA,0,"@JetBlue's #ValentinesDay email was on point &amp; so clever! Thanks for being amazing, #JetBlue! #loveisintheair http://t.co/DoCmvoTWTI",NA,2015-02-17 20:35:15 -0800,NA,NA
570060272049778700,negative,0.6769,Flight Booking Problems,0.6769,US Airways,NA,caneryilmz,NA,0,@USAirways no i use to skyscanner and travel agency and i called u . You said you should call travel agency but,NA,2015-02-23 19:18:54 -0800,NA,NA
569964162979221500,negative,1,Customer Service Issue,0.6905,American,NA,FNMacDougall,NA,0,"@AmericanAir I need to complain to AA, but the email form field doesn't allow enough characters for my complaint. Have a real email address?",NA,2015-02-23 12:57:00 -0800,"Los Angeles, CA",Pacific Time (US & Canada)
568086132346322940,negative,1,Bad Flight,1,United,NA,thedigitalken,NA,0,@united There are Exit-Row window shades in approx 11% of the windows  of your RJ-145s. &lt;--a frequent flyer http://t.co/aOEaeszDLX,NA,2015-02-18 08:34:23 -0800,NA,Central Time (US & Canada)
5.7024669559599923e+17,positive,0.6634,NA,NA,Southwest,NA,BoobzillaXXX,NA,0,@SouthwestAir ok thank you  i hope  so too,NA,2015-02-24 07:39:41 -0800,Everywhere You Wish You Were!,America/Los_Angeles
570270216694968300,negative,1,Customer Service Issue,1,Southwest,NA,julia021685,NA,0,@SouthwestAir I think I get a faster response on Twitter than I do when I call...what's up with that?,NA,2015-02-24 09:13:09 -0800,NA,NA
569827699243544600,negative,1,Customer Service Issue,1,American,NA,BloomBuzz,NA,0,@AmericanAir Have been trying to reach American Airlines since last evening to Cancelled Flight flights. WORST CUSTOMER SERVICE EVER! What now???,NA,2015-02-23 03:54:45 -0800,"Amityville, NY",NA
567860107960324100,negative,0.6661,Customer Service Issue,0.6661,US Airways,NA,PastorMRobinson,NA,0,@USAirways they call weather an act of God and refuse to help. I have my wife and 3 kids and they have no sympathy.,NA,2015-02-17 17:36:14 -0800,Lexington,Central Time (US & Canada)
569350289729458200,negative,1,Late Flight,1,US Airways,NA,Will_Watson6,NA,0,@USAirways pullin some sh** delaying flights again... Smh @OBJ_3 http://t.co/Av2rfFHMcV,NA,2015-02-21 20:17:41 -0800,The road to glory,Pacific Time (US & Canada)
570293557724110850,neutral,1,NA,NA,Southwest,NA,idk_but_youtube,NA,0,@SouthwestAir did you know that suicide is the second leading cause of death among teens 10-24,NA,2015-02-24 10:45:54 -0800,1/1 loner squad,Eastern Time (US & Canada)
568862241497305100,negative,1,Customer Service Issue,0.6859999999999999,Delta,NA,JefferyAArnold,NA,0,"@JetBlue poor storm customer service, 1hr takeoff delay waiting for the snack cart, rude steward (no names) and I love you guys. #TrueBlue",NA,2015-02-20 11:58:21 -0800,"Hoboken,NJ",Pacific Time (US & Canada)
567726912186118140,neutral,0.67,NA,0,Delta,NA,heyheyman,NA,0,@JetBlue Can't view seat selection/change seat for flight tomorrow. Can you look into this?,NA,2015-02-17 08:46:58 -0800,"Boston, MA",Eastern Time (US & Canada)
568244687477162e3,negative,1,Late Flight,1,Delta,NA,zbarry1015,NA,0,"@JetBlue 2 hour delay while sitting on the plane and you still wanna charge me for beer? Nah, I'm good.",NA,2015-02-18 19:04:25 -0800,"Boston, MA",Eastern Time (US & Canada)
569974508435562500,negative,1,Customer Service Issue,0.6412,American,NA,TejasGooner,NA,0,"@AmericanAir no. Booked seat in Dallas, live in Dallas. Real nice that your gate agent had exit row available told me they weren't available",NA,2015-02-23 13:38:07 -0800,The Republic of Texas,Central Time (US & Canada)
569369243965362200,negative,1,Customer Service Issue,0.6809,United,NA,drr51664,NA,0,@united worst customer service experience ever. 40 minutes to get the jetway to the plane at EWR tonight. Flight 354   Disappointed,NA,2015-02-21 21:33:00 -0800,Central NJ,NA
570270818539839500,neutral,1,NA,NA,Southwest,NA,JBadnastythug,NA,0,@SouthwestAir done,NA,2015-02-24 09:15:32 -0800,"Duluth, MN",Eastern Time (US & Canada)
568225650760413200,neutral,0.672,NA,0,United,NA,HelacoHLC,NA,0,@united We invite to Fallow @HelacoHLC learn about our activities.Prevention Programs of Health by Condom-Rito Family.We R 501(C)(3)Thanks,NA,2015-02-18 17:48:46 -0800,EIN: 27-0575748 -New York -USA,NA
5.6842705622193357e+17,negative,1,Can't Tell,0.6767,Southwest,NA,KristinaThomp12,NA,0,@SouthwestAir is main supporter of play where Jesus is portrayed as homosexual partner of Judas and who performs a “gay wedding” #boycott,NA,2015-02-19 07:09:05 -0800,NA,NA
569827255653941250,negative,1,Lost Luggage,0.6669,US Airways,NA,Keri_Everhart,NA,0,@usairways Seriously. This is ridiculous. I shouldn't have to wait a hour for my luggage after I land. #wtf,NA,2015-02-23 03:52:59 -0800,"NC, USA",Eastern Time (US & Canada)
5.6990482479336243e+17,positive,0.6559,NA,NA,United,NA,bravesandbeer,NA,0,@united just confirmed a seat! Crisis averted! Beers won't be missed now,NA,2015-02-23 09:01:13 -0800,Georgia,Eastern Time (US & Canada)
569681060553826300,negative,1,Customer Service Issue,1,United,NA,Fire_Bilal,NA,0,@united lol too little too Late Flight,NA,2015-02-22 18:12:03 -0800,"Iowa City, IA",Eastern Time (US & Canada)
570000250225754100,neutral,1,NA,NA,Delta,NA,gabrielabarkho,NA,0,smh RT @JetBlue: Our fleet's on fleek. http://t.co/IRiXaIfJJX,NA,2015-02-23 15:20:24 -0800,the tristate,Eastern Time (US & Canada)
569184069734395900,neutral,1,NA,NA,US Airways,NA,shivadelrahim,NA,0,@USAirways what is contact info to upgrade using advantage miles?,NA,2015-02-21 09:17:11 -0800,NA,NA
570257935911096300,neutral,0.6725,NA,NA,American,NA,towbinator,NA,0,@AmericanAir I'm sure they did. It's certainly chilly back East today! 😮,NA,2015-02-24 08:24:21 -0800,United States of America,Eastern Time (US & Canada)
570308064185880600,neutral,0.6667,NA,NA,American,NA,LancasterPattie,NA,0,@AmericanAir we've already made other arrangements ourselves.,NA,2015-02-24 11:43:32 -0800,NA,NA
568240355772108800,positive,1,NA,NA,Southwest,NA,emshafer,NA,0,@SouthwestAir Fantastic! Thank you!,NA,2015-02-18 18:47:12 -0800,ATLANTA,Eastern Time (US & Canada)
568807231396802560,neutral,1,NA,NA,United,NA,jbone3353,NA,0,@united done,NA,2015-02-20 08:19:46 -0800,NA,Pacific Time (US & Canada)
569287399131389950,neutral,0.6522,NA,NA,United,NA,Abdelati786,NA,0,@united @ehsanisMpowered lmfao,NA,2015-02-21 16:07:47 -0800,Heart of America,Central Time (US & Canada)
567800315093979140,negative,1,Customer Service Issue,1,US Airways,NA,GainesJohnson,NA,0,"@USAirways I have now called 12 times in the last three days. That's unacceptable. I'm willing to wait on hold, but that's not an option.",NA,2015-02-17 13:38:38 -0800,"Charlottesville, Virginia",Central Time (US & Canada)
568462177415372800,positive,1,NA,NA,United,NA,DeltaBravo33,NA,0,@united Yes ! :D (Y) From @therealaviation on Instagram :),NA,2015-02-19 09:28:39 -0800,France,NA
567767997981671400,negative,1,Cancelled Flight,1,United,NA,thodge77,NA,0,"@united flight 4567 have already been Cancelled Flightled once, been trying to get home two days. Staff being very unhelpful.",NA,2015-02-17 11:30:13 -0800,Memphis,Central Time (US & Canada)
568651726858747900,negative,1,Late Flight,0.698,United,NA,AnnabelleBlume,NA,0,.@united being delayed 3 hours for a one hour flight is more than frustrating. I'm also unable to get a decent meal at this hour.Never again,NA,2015-02-19 22:01:51 -0800,"Los Angeles, CA",NA
5.6991366747654963e+17,negative,1,Can't Tell,0.3408,Delta,NA,bostongarden,NA,0,"@JetBlue For one way, not letting me select TO city....strange...and now some fairs look ""normal"" ????",NA,2015-02-23 09:36:21 -0800,"Boston, Austin, Kansas City",Eastern Time (US & Canada)
570112074249928700,negative,1,Can't Tell,1,American,NA,UncleDomDom,NA,0,@AmericanAir is the worst airline in the entire world. I only flew them because I had to and it was the nightmare I knew it would be.,NA,2015-02-23 22:44:45 -0800,NA,Eastern Time (US & Canada)
569088496117415940,positive,1,NA,NA,United,NA,ryaneaster,NA,0,@united service by staff was great as usual. Cleanliness and smells a bit much. I'll be back. #satisfied traveler,"[41.9809313, -87.9063148]",2015-02-21 02:57:25 -0800,Chicago,Central Time (US & Canada)
568527941723775e3,negative,1,Cancelled Flight,0.6735,US Airways,NA,alex_nieves,NA,0,@USAirways they say connections are good still...but another reFlight Booking Problems is the last thing I need today,NA,2015-02-19 13:49:58 -0800,Connecticut,Quito
567960564023967740,positive,0.6632,NA,0,United,NA,albertchatigny,NA,0,@united You delayed a connection for customer service today now I'll be able to pay my final respects to a dear family member. Thank you :),NA,2015-02-18 00:15:25 -0800,NA,NA
569083899478994940,positive,0.6735,NA,NA,United,NA,filmbizpro,NA,0,Hey @united you've upgraded me on a 10 hour International flight. I forgive you :-) thank you!,NA,2015-02-21 02:39:09 -0800,Amsterdam/Malibu,Amsterdam
570302060035498e3,negative,1,Bad Flight,0.3726,American,NA,PBSamson,NA,0,@AmericanAir thx for responding. I cant watch 2 mins of this film w/out it cutting in and out 4 prolonged prds of time. beyond frustrating,NA,2015-02-24 11:19:41 -0800,"Los Angeles, CA",Pacific Time (US & Canada)
570271713512046600,positive,0.6549,NA,NA,US Airways,NA,JenRomanoff,NA,0,@USAirways thanks !!!,NA,2015-02-24 09:19:06 -0800,NA,Eastern Time (US & Canada)
5.6789480843957043e+17,negative,1,Customer Service Issue,1,United,NA,27_POWERS,NA,0,"@united Direct Messaged you, didn't hear anything back",NA,2015-02-17 19:54:07 -0800,"Costa Mesa, CA",Pacific Time (US & Canada)
568511254530101250,neutral,1,NA,NA,Southwest,NA,krisnaturally,NA,0,@SouthwestAir thank you. Please follow and I will send.,NA,2015-02-19 12:43:40 -0800,"Boca Raton, FL",Eastern Time (US & Canada)
569260280687005700,negative,1,Cancelled Flight,1,Southwest,NA,jvancequ,NA,0,@SouthwestAir are ur flight still Cancelled Flight from nashville tn today and tomorrow to Dallas TX? I been waiting on phone to ur office for 40 min.,NA,2015-02-21 14:20:01 -0800,NA,NA
5.6996066582725837e+17,positive,1,NA,NA,American,NA,scottfmurphy,NA,0,"@AmericanAir Well, you guys are totally kicking a million pounds of ass. Bar none, the best SM team in the airline industry in my opinion.",NA,2015-02-23 12:43:06 -0800,"New York, NY",Central Time (US & Canada)
569664668010225660,negative,0.6701,Late Flight,0.3849,American,NA,smb510,NA,0,"@AmericanAir 719. Looks like we are about to get going, finally!",NA,2015-02-22 17:06:55 -0800,Far From Home,Eastern Time (US & Canada)
569538703732772860,negative,1,Lost Luggage,0.6779999999999999,United,NA,kidang,NA,0,@united oh I did. Was still lost. Your tracking system stinks as does the delivery system.,NA,2015-02-22 08:46:23 -0800,Tour Bus or Airplane/ Hotel,Pacific Time (US & Canada)
569342641571291140,negative,1,Can't Tell,0.6527,Delta,NA,TheBigEasy5889,NA,0,@JetBlue Why did you interupt the Staduim Series on @NHLonNBCSports. I dont need to see your stupid commercials or Emergency. Info.,NA,2015-02-21 19:47:18 -0800,NA,Eastern Time (US & Canada)
569587663692554240,negative,1,Late Flight,1,US Airways,NA,ericabevill,NA,0,@USAirways now after an hour on the plane and knowing of a maint issue ahead of time they just announced another 30 mins. Y r we on plane?,NA,2015-02-22 12:00:56 -0800,"Chicago, IL",Central Time (US & Canada)
568867068331864060,neutral,0.6773,NA,0,Virgin America,NA,AcronymBex,NA,0,@VirginAmerica I think i left something on the plane yesterday. who do i call...ah!,NA,2015-02-20 12:17:32 -0800,"NY, NY",Eastern Time (US & Canada)
569525679823425540,negative,0.6917,Flight Attendant Complaints,0.3727,US Airways,NA,sunmoorthy,NA,0,@USAirways I have a MAJOR complaint that I want to address w/you about my hand luggage courtesy check-in. What's the best way to do this?,"[38.92102632, -76.9969392]",2015-02-22 07:54:38 -0800,"Arlington, VA",Eastern Time (US & Canada)
5.6961366104569037e+17,negative,0.7143,Can't Tell,0.7143,American,NA,CandyandPizza,NA,0,"@AmericanAir @karabuxthomps Yeah, I have a lot of questions, number one: how dare you",NA,2015-02-22 13:44:14 -0800,New York City,Central Time (US & Canada)
570286925556424700,negative,1,Customer Service Issue,0.6635,US Airways,NA,EEB4,NA,0,@USAirways There is an error w/ my preferred status &amp; I'm not able to reach an agent via phone. Travel Friday. Need resolved - contact info?,NA,2015-02-24 10:19:33 -0800,"Washington, DC",Eastern Time (US & Canada)
570058065480962050,neutral,0.6696,NA,NA,US Airways,NA,roanwild,NA,0,"@USAirways yes, with Delta!",NA,2015-02-23 19:10:08 -0800,NA,NA
5.6888475102262477e+17,negative,1,Lost Luggage,1,Southwest,NA,joyajackson_,NA,0,"@SouthwestAir Yes, but I like need my luggage before tomorrow morning",NA,2015-02-20 13:27:48 -0800,looking for alaska,Quito
5.6970979300021043e+17,negative,0.6748,Customer Service Issue,0.3521,American,NA,darcisays,NA,0,"@AmericanAir Nope, I have not been rebooked.",NA,2015-02-22 20:06:14 -0800,Wherevers not gonna get me hit,NA
567787449053872100,negative,1,Customer Service Issue,1,US Airways,NA,michael_lepp,NA,1,@usairways I’m cool with weather delays etc. But lying and deceiving passengers to keep them from changing is reprehensible. #yousuck,"[35.22032317, -80.94508353]",2015-02-17 12:47:31 -0800,"Charlotte, North Carolina",Quito
568098677618683900,negative,0.6442,Flight Booking Problems,0.3228,Delta,NA,JCameronUSA,NA,0,@JetBlue Only middle seats. SFO -&gt; BOS. Not fun. She keeps getting $10 credits. Would much rather have a working TV.,NA,2015-02-18 09:24:14 -0800,NA,Atlantic Time (Canada)
569340200934969340,neutral,0.6632,NA,NA,United,NA,c4pyro,NA,0,@united we will be at the airport first thing in the morning,NA,2015-02-21 19:37:36 -0800,NA,NA
568998369353297900,positive,1,NA,NA,Southwest,NA,dragons_arelife,NA,0,@SouthwestAir Hey sourhwest can you send me to Atlanta to see @Imaginedragons ? I will fly southwest forever. U guys are the best airline!,NA,2015-02-20 20:59:17 -0800,City of Angels,Pacific Time (US & Canada)
569841476240166900,negative,1,Customer Service Issue,1,American,NA,rac22582,NA,0,@AmericanAir trying to talk 2 customer service to add lap child and can't get a hold of anybody. I need help!!!!!,NA,2015-02-23 04:49:29 -0800,NA,America/Chicago
568774914452418560,negative,1,Late Flight,0.3402,Delta,NA,NYYash,NA,0,"@JetBlue don't just cling on to the safety card. It safety was really an issue, then flight would have landed immediately. .",NA,2015-02-20 06:11:21 -0800,"New York City, NY",Atlantic Time (Canada)
568424482764931100,positive,1,NA,NA,United,NA,scout_mb,NA,0,@united message sent. Thank you!,NA,2015-02-19 06:58:52 -0800,NA,Eastern Time (US & Canada)
568819285990215700,negative,1,Customer Service Issue,1,United,NA,mariel_soraya,NA,0,@united I was not looking for the fare to be returned on the companion flight.  don't understand why an additional $200 fee was necessary.,NA,2015-02-20 09:07:40 -0800,NA,Eastern Time (US & Canada)
570266640614498300,negative,0.6837,Customer Service Issue,0.3673,Southwest,NA,passthechorizo,NA,0,@SouthwestAir nothing you can do to help us restore some barely-expired #RapidRewards points?,NA,2015-02-24 08:58:56 -0800,Chicago,Central Time (US & Canada)
569182050219126800,negative,1,Customer Service Issue,1,US Airways,NA,sejly03,NA,0,@USAirways so I still need to stay on hold? http://t.co/04SDytT7zd,NA,2015-02-21 09:09:10 -0800,NA,Eastern Time (US & Canada)
569865011788693500,negative,1,Customer Service Issue,0.6792,United,NA,mbelliss,NA,0,@united how about starting without the robotic response?,NA,2015-02-23 06:23:01 -0800,Louisville,Alaska
570227814575804400,negative,1,Cancelled Flight,1,Southwest,NA,TheBaltimoreOs,NA,0,@SouthwestAir why was Southwest only airline to Cancelled Flight all flights from Charleston? Was 7:50pm flight Cancelled Flightation really weather reLate Flightd?,NA,2015-02-24 06:24:39 -0800,NA,Atlantic Time (Canada)
568543525505089540,positive,0.6875,NA,NA,Virgin America,NA,MNDNCH,NA,0,@VirginAmerica I was so glad it was mentioned. I took my first virgin flight a few years back and it was a transformative experience.,NA,2015-02-19 14:51:54 -0800,SD/LA/PS,Pacific Time (US & Canada)
568127152450871300,negative,1,Flight Booking Problems,0.6571,United,NA,syndscu,NA,0,"@united how can i trust United with future Flight Booking Problemss when a confirmed, ticketed and purchased ticket is Cancelled Flightled after the fact?",NA,2015-02-18 11:17:23 -0800,NA,NA
569859213331189760,negative,1,Late Flight,0.6799,United,NA,scottychadwick,NA,0,@united day 3 of this Saga maybe they'll finally make it home.Intentional or not it not gonna get them back there vacation days #badservice,NA,2015-02-23 05:59:58 -0800,NA,Eastern Time (US & Canada)
569521081125629950,negative,1,Customer Service Issue,0.6703,United,NA,bushth07,NA,0,"@united Found flight after 2.5 hrs. How am I offered a $200 flight voucher 12 hrs before, lose my seat out of neglect, then get nothing?",NA,2015-02-22 07:36:21 -0800,43206,Eastern Time (US & Canada)
569008601009762300,negative,1,Customer Service Issue,0.6804,United,NA,johnwoodRTR,NA,0,@united That is not what your reservations desk just told me.  They said there were plenty of seats,"[39.83426941, -104.69960636]",2015-02-20 21:39:56 -0800,Hong Kong,Eastern Time (US & Canada)
567739036425805800,positive,1,NA,NA,Delta,NA,PHopNy,NA,0,@JetBlue I did...#FlyFi worked well and was free aboard this flight,NA,2015-02-17 09:35:09 -0800,"Queens, NY",NA
569514471296774140,negative,1,Late Flight,1,Delta,NA,djkeating13,NA,0,@JetBlue Are there airport-wide delays at BOS or did we just get unlucky with 152?,NA,2015-02-22 07:10:05 -0800,"Malden, MA",Eastern Time (US & Canada)
5.6853103572360397e+17,positive,0.6607,NA,NA,Southwest,NA,livvyports16,NA,1,@SouthwestAir me &amp; @sammi_jon3s are best friends because of @Imaginedragons. Any chance we could get tickets to #DestinationDragons ?,NA,2015-02-19 14:02:16 -0800,NA,NA
569969374875881500,negative,1,Customer Service Issue,1,American,NA,iAMalexmetz,NA,0,@AmericanAir now 2 hrs! Guess I should just hang up &amp; give up on using my award miles before prices jump? Hm thanks http://t.co/LE4H2gTzXZ,NA,2015-02-23 13:17:43 -0800,"Los Angeles, CA",Atlantic Time (Canada)
570119457286328300,negative,1,Lost Luggage,0.3553,United,NA,tiffy_mac,NA,0,"@united ..back for the expensive holiday, he worked all year to pay for, that you RUINED! We want compensation &amp; his original case back!",NA,2015-02-23 23:14:05 -0800,"Brighton, UK
",NA
569924793232785400,negative,0.3477,Bad Flight,0.3477,Delta,NA,GoBobbo,NA,0,nope. RT @JetBlue: Our fleet's on fleek. http://t.co/9SHhTvIOTI,NA,2015-02-23 10:20:34 -0800,Pittsburgh — now & forever,Central Time (US & Canada)
568648940033343500,negative,1,Cancelled Flight,1,United,NA,Mosborne13,NA,0,@united I would appreciate an answer on why we weren't alerted flight had been Cancelled Flighted until plane landed.  #showsomerespect,NA,2015-02-19 21:50:46 -0800,NA,Central Time (US & Canada)
569884285659848700,negative,1,Customer Service Issue,0.6905,American,NA,bombadiltiff,NA,0,@AmericanAir been trying to speak to agent for 24hrs about my Cancelled Flightled flight but reps always busy. how do I get ahold of you?,NA,2015-02-23 07:39:36 -0800,fort worth,Central Time (US & Canada)
568831929102913540,negative,1,Bad Flight,1,United,NA,Mortars254,NA,1,@united the new seats on the Canadaair regional jets just plain suck.,NA,2015-02-20 09:57:54 -0800,The Commonwealth of Virginia,Quito
568826004891832300,negative,1,Cancelled Flight,0.6552,US Airways,NA,kimlynam2,NA,0,@USAirways Not happy with start of trip!  Cancelled Flightled flight #poor customerservice,NA,2015-02-20 09:34:22 -0800,NA,NA
569972804822704100,negative,1,Can't Tell,0.6407,US Airways,NA,joshahamilton,NA,0,@USAirways honest question - how is a 1-way ticket from Charlotte (your hub) to LAX (2nd biggest city in USA) almost $600?????,NA,2015-02-23 13:31:20 -0800,Cali native now in Charlotte,Quito
568068468261519360,negative,1,Can't Tell,0.6567,United,NA,JSHanselman,NA,0,"@united surprise me.  Otherwise, the flight is over and I don't have a good feeling about your airline.",NA,2015-02-18 07:24:11 -0800,"Boise, ID",Mountain Time (US & Canada)
568802305606361100,negative,1,Late Flight,1,Southwest,NA,Vindictive_tK,NA,0,@SouthwestAir make this delay go away. Maybe upgrade me and Kats seats. We are headed to Columbus.,NA,2015-02-20 08:00:12 -0800,www.twitch.tv/sovindictive,Eastern Time (US & Canada)
569679240586764300,negative,1,Can't Tell,0.7127,Delta,NA,leighericam,NA,0,@JetBlue are yall going bankrupt or is inflation just really bad these days? You went from $50 to $120 for overweight fees! Outrageous,NA,2015-02-22 18:04:49 -0800,NYC | NOLA,NA
568042869505654800,neutral,1,NA,NA,Southwest,NA,cassidychiarito,NA,0,@SouthwestAir when will you have flights for October 2015 available?,"[41.28597403, -72.44456912]",2015-02-18 05:42:28 -0800,NA,Atlantic Time (Canada)
569700068476866560,positive,1,NA,NA,US Airways,NA,LarrySandeen,NA,0,@USairways Since I am a loyal USAir customer I am sure that they will make this up to me-right now I want to get home &amp; back to work.,"[0.0, 0.0]",2015-02-22 19:27:35 -0800,Southeastern Pennsylvania USA,NA
568482472880697340,negative,1,Customer Service Issue,0.3516,US Airways,NA,JimmyisAble,NA,0,"@USAirways was switched to an American Airlines flight, not by choice, and now I am charged $50 for bags? Thought y'all merged?","[29.98730979, -90.25605983]",2015-02-19 10:49:18 -0800,NA,Hawaii
568835134603931650,neutral,0.6699,NA,NA,United,NA,ssegraves,NA,0,@united thanks. That means I have 30 minutes to make my international connection to HKG,NA,2015-02-20 10:10:39 -0800,PDX / LGA / TXL / ✈,Central Time (US & Canada)
569271994212069400,positive,1,NA,NA,Delta,NA,geraldineledan,NA,0,@JetBlue Exciting times ahead! 😁🎉,"[40.67851205, -73.43465391]",2015-02-21 15:06:34 -0800,"Long Island, New York",Eastern Time (US & Canada)
569863836615864300,negative,1,Flight Attendant Complaints,0.6517,United,NA,artistanxiety,NA,0,"@united yes, but it's not looking. The ticket agent at out terminal dismissed us and we missed a chance at a Miami flight then to DR",NA,2015-02-23 06:18:20 -0800,Punk is the preacher.,Arizona
567892395867656200,negative,1,Lost Luggage,1,United,NA,darrenw162,NA,1,@united Holiday of a lifetime to New York ruined because you lost my luggage and have failed to find it since Sunday! #wontflyagainwithyou,NA,2015-02-17 19:44:32 -0800,NA,NA
568081401053974500,negative,1,Customer Service Issue,1,US Airways,NA,_JoeChuck,NA,0,@USAirways 2 days and 2 hours on hold the other day. Charge me double for flights and can't even fix it. Worst service I've ever had,NA,2015-02-18 08:15:35 -0800,CT to Queens,Eastern Time (US & Canada)
570286345454800900,negative,1,Late Flight,0.6495,US Airways,NA,MauererPower,NA,2,@USAirways @AmericanAir how does a pilot forget log book? Been waiting on plane for 45 mins!! #AlsoNoDrinkCartComingAround,NA,2015-02-24 10:17:14 -0800,NA,Central Time (US & Canada)
568351842217947140,negative,0.6629,Customer Service Issue,0.336,United,NA,patrick_maness,NA,0,@united spoke to someone on your feedback line last night who said she would get me a preferred choice seat for today...,NA,2015-02-19 02:10:13 -0800,Rhode Island,Eastern Time (US & Canada)
570134947828080640,negative,1,Customer Service Issue,1,American,NA,KyleFerrel,NA,0,@AmericanAir thanks for the generic computer generated response. How about you accommodate your travelers instead of just saying sorry,NA,2015-02-24 00:15:38 -0800,Nevada,America/Los_Angeles
569346431833673700,neutral,0.6362,NA,NA,United,NA,JimStarkBalla,NA,0,@united I see you coming to get me and @AggieMensGolf in Hawaii! #12thMan http://t.co/G8DKa3Edhf,"[21.32911863, -157.91749165]",2015-02-21 20:02:21 -0800,Htown,NA
567783687980367900,negative,1,Customer Service Issue,0.6834,Virgin America,NA,RyScanlon,NA,0,"@VirginAmerica As one of the travelers affected by the Boston storm, I'm shocked at Virgin's complete apathy toward their customers.",NA,2015-02-17 12:32:34 -0800,NA,Atlantic Time (Canada)
568066292114001900,negative,1,Cancelled Flight,1,US Airways,NA,lisascott09,NA,0,@USAirways is useless airways. Day 2 trying to get home on standby as a result of their Cancelled Flightlation. #USAirways,NA,2015-02-18 07:15:32 -0800,NA,Central Time (US & Canada)
569280553574277100,neutral,1,NA,NA,US Airways,NA,rich0409,NA,0,@USAirways @AmericanAir  ..off to vegas http://t.co/AygAOeB6Uu,NA,2015-02-21 15:40:35 -0800,NA,NA
